postId,slug,title,creatorId,collectionId,upvotes,views,reads,createdAt,firstPublishedAt,visibility,firstPublishedAtBucket,readingTime,syndicatedViews,claps,updateNotificationSubscribers,isSeries,internalReferrerViews,friendsLinkViews,type,daysSincePublished
48f9448467ca,新世代のbox-python-sdkおよびbox-ts-sdkの安定版リリースとbox-ai,新世代のBox Python SDKおよびBox TS SDKの安定版リリースとBox AI,5c489a4342f7,d4dda281ea02,0,2,1,2024-06-03T00:27:48,2024-06-03T00:34:56,0,June 2024,3,0,0,0,False,1,0,PostStat,0
e506cb7f1a2a,box-signの新機能による高度なワークフローのカスタマイズ,Box Signの新機能による高度なワークフローのカスタマイズ,5c489a4342f7,d4dda281ea02,0,0,0,2024-05-27T23:16:29,2024-06-03T00:24:54,0,June 2024,4,0,0,0,False,0,0,PostStat,0
781d73719718,バージョン管理の導入-box-api開発のマイルストーン,バージョン管理の導入: Box API開発のマイルストーン,5c489a4342f7,d4dda281ea02,0,6,4,2024-05-27T22:58:10,2024-05-27T23:15:44,0,May 2024,8,0,0,0,False,3,0,PostStat,7
f5647e888f15,新機能-box-ai-apiとdeveloper-zoneのパブリックベータ版,[新機能] Box AI APIとDeveloper Zoneのパブリックベータ版,5c489a4342f7,d4dda281ea02,0,20,8,2024-05-10T09:33:27,2024-05-13T23:21:44,0,May 2024,5,0,0,0,False,9,0,PostStat,21
7c4364488b4f,box-orgのためのbox-platformの使用について,Box.orgのためのBox Platformの使用について,5c489a4342f7,d4dda281ea02,0,9,3,2024-05-10T09:09:26,2024-05-10T09:32:10,0,May 2024,13,0,0,0,False,6,0,PostStat,24
fda42ffb6d3c,gcp-cloud-functionsとboxのwebhookの使用,GCP Cloud FunctionsとBoxのWebhookの使用,5c489a4342f7,d4dda281ea02,0,68,15,2024-04-10T22:43:22,2024-04-10T23:00:27,0,April 2024,22,0,0,0,False,13,0,PostStat,54
4db71ed2dcee,vercelを使用したboxウェブアプリ統合の作成,Vercelを使用したBoxウェブアプリ統合の作成,5c489a4342f7,d4dda281ea02,0,15,3,2024-04-09T03:20:54,2024-04-09T20:20:05,0,April 2024,12,0,0,0,False,5,0,PostStat,55
d70f0920c9bb,pythonワークショップ-box-ai-api,Pythonワークショップ: Box AI API,5c489a4342f7,d4dda281ea02,0,21,9,2024-04-09T01:17:56,2024-04-09T01:36:46,0,April 2024,16,0,0,0,False,8,0,PostStat,55
426168222ebd,box-file-picker-ui-elementのサポート終了,Box File Picker UI Elementのサポート終了,5c489a4342f7,d4dda281ea02,0,76,20,2024-03-27T03:15:22,2024-03-27T03:55:36,0,March 2024,8,0,0,0,False,10,0,PostStat,68
17a51df64e00,新しいbox-net-sdkの使用,新しいBox .NET SDKの使用,5c489a4342f7,d4dda281ea02,0,149,49,2024-03-27T02:46:29,2024-03-27T03:03:48,0,March 2024,12,0,0,0,False,37,0,PostStat,68
f635a506864c,box-salesforce-メタデータを使用したフロー,Box + Salesforce: メタデータを使用したフロー,5c489a4342f7,d4dda281ea02,0,71,10,2024-03-13T22:30:27,2024-03-14T01:49:21,0,March 2024,16,0,0,0,False,19,0,PostStat,81
3914dd42d483,box-aiによるメタデータ抽出,Box AIによるメタデータ抽出,5c489a4342f7,d4dda281ea02,0,93,26,2024-03-05T20:39:28,2024-03-05T21:04:21,0,March 2024,23,0,0,0,False,30,0,PostStat,90
8a1a14cfb8cd,デジタルクリーンアップデーとbox-api,デジタルクリーンアップデーとBox API,5c489a4342f7,d4dda281ea02,0,31,11,2024-02-28T22:34:39,2024-02-29T00:24:00,0,February 2024,8,0,0,0,False,13,0,PostStat,95
2074be770384,開発者向けbox-sign専用リソースページのリリースのお知らせ,開発者向けBox Sign専用リソースページのリリースのお知らせ,5c489a4342f7,d4dda281ea02,0,14,8,2024-02-28T22:08:15,2024-02-28T22:32:00,0,February 2024,4,0,0,0,False,7,0,PostStat,96
9d08c501de4f,無料のbox-developerアカウントの利用再開のお知らせ,無料のBox Developerアカウントの利用再開のお知らせ,5c489a4342f7,d4dda281ea02,0,273,217,2024-02-19T02:43:35,2024-02-19T02:47:29,0,February 2024,2,0,0,0,False,29,0,PostStat,105
2adc7d13be8b,box-pythonの次世代sdk-電子すかし,Box Pythonの次世代SDK: 電子すかし,5c489a4342f7,d4dda281ea02,0,19,5,2024-02-08T01:12:32,2024-02-08T01:29:30,0,February 2024,8,0,0,0,False,8,0,PostStat,116
aa6ff011df87,box-content-explorerのメタデータビュー,Box Content Explorerのメタデータビュー,5c489a4342f7,d4dda281ea02,0,31,4,2024-02-07T20:50:42,2024-02-07T21:48:29,0,February 2024,15,0,0,0,False,9,0,PostStat,117
3d4ce650eb65,box-pythonの次世代sdk-グループ,Box Pythonの次世代SDK: グループ,5c489a4342f7,d4dda281ea02,0,16,1,2024-02-07T02:04:04,2024-02-07T02:20:40,0,February 2024,14,0,0,0,False,9,0,PostStat,117
09c1cf9718ff,box-pythonの次世代sdk-ファイルリクエスト,Box Pythonの次世代SDK: ファイルリクエスト,5c489a4342f7,d4dda281ea02,0,35,13,2024-01-31T23:01:31,2024-01-31T23:17:35,0,February 2024,12,0,0,0,False,12,0,PostStat,124
d623f0679121,box-pythonの次世代sdk-ユーザー,Box Pythonの次世代SDK: ユーザー,5c489a4342f7,d4dda281ea02,0,40,14,2024-01-31T22:32:44,2024-01-31T23:00:53,0,February 2024,10,0,0,0,False,4,0,PostStat,124
fb22ecd92287,boxの開発者向けの製品管理アプローチについて,Boxの開発者向けの製品管理アプローチについて,5c489a4342f7,d4dda281ea02,0,15,7,2024-01-31T22:02:40,2024-01-31T22:24:48,0,January 2024,10,0,0,0,False,6,0,PostStat,124
682542adca54,box-signの構造化されたドキュメントの使用,Box Signの構造化されたドキュメントの使用,5c489a4342f7,d4dda281ea02,0,30,8,2024-01-16T00:41:40,2024-01-16T00:57:59,0,January 2024,13,0,0,0,False,12,0,PostStat,139
e2d65d2c8821,box-pythonの次世代sdk-タスクの使用,Box Pythonの次世代SDK: タスクの使用,5c489a4342f7,d4dda281ea02,0,11,6,2024-01-16T00:13:06,2024-01-16T00:36:10,0,January 2024,15,0,0,0,False,3,0,PostStat,139
