timeWindowStart,views,ttr,dailyUniqueVisitors
2024-04-01T20:00:00,15,881.621,44
2024-04-01T21:00:00,11,660.84,56
2024-04-01T22:00:00,13,454.085,64
2024-04-01T23:00:00,2,281.734,71
2024-04-02T00:00:00,7,683.628,71
2024-04-02T01:00:00,9,565.804,69
2024-04-02T02:00:00,8,392.511,69
2024-04-02T03:00:00,6,350.412,74
2024-04-02T04:00:00,6,324.538,70
2024-04-02T05:00:00,4,171.864,69
2024-04-02T06:00:00,2,73.428,62
2024-04-02T07:00:00,2,43.264,63
2024-04-02T09:00:00,3,75.265,62
2024-04-02T10:00:00,2,37.009,63
2024-04-02T11:00:00,1,486.41,65
2024-04-02T12:00:00,3,136.574,65
2024-04-02T13:00:00,8,677.29,66
2024-04-02T18:00:00,2,4.364,66
2024-04-02T19:00:00,1,23.413,68
2024-04-02T20:00:00,7,273.84,69
2024-04-02T21:00:00,11,617.416,63
2024-04-02T22:00:00,21,1137.0,63
2024-04-02T23:00:00,5,478.431,68
2024-04-03T00:00:00,9,700.035,69
2024-04-03T01:00:00,12,662.798,71
2024-04-03T02:00:00,23,2167.873,73
2024-04-03T03:00:00,4,256.907,76
2024-04-03T04:00:00,12,190.263,76
2024-04-03T05:00:00,3,22.554,79
2024-04-03T06:00:00,8,609.033,79
2024-04-03T07:00:00,7,636.284,78
2024-04-03T08:00:00,2,136.666,79
2024-04-03T09:00:00,2,127.069,80
2024-04-03T10:00:00,5,55.102,80
2024-04-03T13:00:00,1,1.011,81
2024-04-03T18:00:00,2,153.789,79
2024-04-03T19:00:00,3,45.933,80
2024-04-03T20:00:00,4,73.277,81
2024-04-03T21:00:00,7,232.476,78
2024-04-03T22:00:00,7,362.345,76
2024-04-03T23:00:00,2,277.125,70
2024-04-04T00:00:00,5,349.785,68
2024-04-04T01:00:00,12,793.623,67
2024-04-04T02:00:00,16,590.987,68
2024-04-04T03:00:00,16,1027.531,68
2024-04-04T04:00:00,10,765.885,75
2024-04-04T05:00:00,6,984.393,71
2024-04-04T06:00:00,2,40.888,72
2024-04-04T08:00:00,3,90.942,71
2024-04-04T09:00:00,4,80.242,72
2024-04-04T19:00:00,4,336.467,66
2024-04-04T20:00:00,8,624.749,67
2024-04-04T21:00:00,8,259.292,71
2024-04-04T22:00:00,17,1096.928,74
2024-04-04T23:00:00,8,342.046,77
2024-04-05T00:00:00,8,386.614,81
2024-04-05T01:00:00,8,453.912,80
2024-04-05T02:00:00,12,621.02,79
2024-04-05T03:00:00,10,998.043,72
2024-04-05T04:00:00,7,156.854,76
2024-04-05T05:00:00,7,764.628,70
2024-04-05T06:00:00,9,199.916,70
2024-04-05T07:00:00,1,1.0,70
2024-04-05T08:00:00,1,12.456,71
2024-04-05T10:00:00,1,43.172,69
2024-04-05T15:00:00,1,6.441,70
2024-04-05T16:00:00,1,4.509,71
2024-04-05T22:00:00,1,21.445,56
2024-04-06T01:00:00,4,452.898,36
2024-04-06T02:00:00,1,475.537,34
2024-04-06T03:00:00,1,42.308,28
2024-04-06T04:00:00,2,18.527,21
2024-04-06T06:00:00,1,52.58,15
2024-04-06T07:00:00,4,402.261,13
2024-04-06T08:00:00,5,546.546,12
2024-04-06T09:00:00,1,4.515,12
2024-04-06T13:00:00,1,42.529,12
2024-04-06T14:00:00,3,25.023,13
2024-04-06T20:00:00,2,44.552,13
2024-04-06T21:00:00,10,402.134,14
2024-04-06T22:00:00,1,41.636,15
2024-04-07T00:00:00,1,5.107,15
2024-04-07T01:00:00,1,147.341,16
2024-04-07T02:00:00,3,53.397,15
2024-04-07T03:00:00,0,4.014,15
2024-04-07T04:00:00,1,12.396,15
2024-04-07T05:00:00,3,211.219,14
2024-04-07T06:00:00,4,442.59,15
2024-04-07T07:00:00,1,143.39,16
2024-04-07T08:00:00,1,39.809,16
2024-04-07T09:00:00,6,196.131,15
2024-04-07T10:00:00,2,145.225,17
2024-04-07T11:00:00,3,115.77,18
2024-04-07T12:00:00,1,87.699,19
2024-04-07T14:00:00,1,276.567,19
2024-04-07T20:00:00,4,219.856,17
2024-04-07T21:00:00,15,1049.994,20
2024-04-07T22:00:00,8,1289.663,27
2024-04-07T23:00:00,2,50.473,32
2024-04-08T00:00:00,9,869.631,34
2024-04-08T01:00:00,7,442.261,40
2024-04-08T02:00:00,13,922.711,44
2024-04-08T03:00:00,15,1082.255,51
2024-04-08T04:00:00,9,436.822,60
2024-04-08T06:00:00,1,0.0,67
2024-04-08T07:00:00,1,12.198,66
2024-04-08T08:00:00,1,30.129,67
2024-04-08T09:00:00,5,134.214,67
2024-04-08T10:00:00,2,0.0,65
2024-04-08T11:00:00,3,56.575,67
2024-04-08T16:00:00,1,2.349,66
2024-04-08T17:00:00,1,3.746,67
2024-04-08T18:00:00,1,0.0,68
2024-04-08T19:00:00,3,4.414,68
2024-04-08T20:00:00,13,594.833,71
2024-04-08T21:00:00,9,406.798,76
2024-04-08T22:00:00,6,583.745,74
2024-04-08T23:00:00,9,469.469,71
2024-04-09T00:00:00,9,494.736,77
2024-04-09T01:00:00,13,498.739,79
2024-04-09T02:00:00,9,233.544,79
2024-04-09T03:00:00,6,365.171,80
2024-04-09T04:00:00,4,244.985,74
2024-04-09T05:00:00,10,688.592,71
2024-04-09T07:00:00,1,11.532,74
2024-04-09T10:00:00,3,148.819,72
2024-04-09T11:00:00,3,66.474,73
2024-04-09T12:00:00,1,0.0,71
2024-04-09T16:00:00,2,34.012,71
2024-04-09T18:00:00,2,23.553,71
2024-04-09T20:00:00,5,260.17,69
2024-04-09T21:00:00,3,203.039,67
2024-04-09T22:00:00,15,782.405,63
2024-04-09T23:00:00,2,24.199,68
2024-04-10T00:00:00,15,983.633,63
2024-04-10T01:00:00,9,908.298,65
2024-04-10T02:00:00,9,410.533,64
2024-04-10T03:00:00,9,169.997,64
2024-04-10T04:00:00,6,320.217,68
2024-04-10T05:00:00,4,308.072,69
2024-04-10T06:00:00,3,140.897,69
2024-04-10T07:00:00,3,32.707,72
2024-04-10T08:00:00,1,15.776,74
2024-04-10T09:00:00,2,14.41,75
2024-04-10T10:00:00,1,12.003,77
2024-04-10T11:00:00,1,10.409,75
2024-04-10T13:00:00,1,289.534,74
2024-04-10T14:00:00,1,43.557,74
2024-04-10T15:00:00,4,67.329,74
2024-04-10T18:00:00,1,4.682,75
2024-04-10T19:00:00,6,103.468,74
2024-04-10T20:00:00,5,92.483,79
2024-04-10T21:00:00,3,111.251,78
2024-04-10T22:00:00,16,455.028,80
2024-04-10T23:00:00,10,55.712,76
2024-04-11T00:00:00,9,293.716,78
2024-04-11T01:00:00,7,464.922,74
2024-04-11T02:00:00,7,553.406,70
2024-04-11T03:00:00,8,221.485,70
2024-04-11T04:00:00,3,205.076,68
2024-04-11T05:00:00,1,2.418,67
2024-04-11T07:00:00,2,153.127,61
2024-04-11T08:00:00,0,3.169,60
2024-04-11T12:00:00,1,39.172,56
2024-04-11T14:00:00,1,2.293,56
2024-04-11T19:00:00,2,7.921,54
2024-04-11T20:00:00,13,309.391,52
2024-04-11T21:00:00,10,423.847,60
2024-04-11T22:00:00,15,664.288,65
2024-04-11T23:00:00,4,321.644,66
2024-04-12T00:00:00,11,737.378,64
2024-04-12T01:00:00,11,413.183,64
2024-04-12T02:00:00,17,1305.51,69
2024-04-12T03:00:00,3,459.928,71
2024-04-12T04:00:00,8,283.363,65
2024-04-12T05:00:00,4,222.739,69
2024-04-12T06:00:00,1,1.001,72
2024-04-12T07:00:00,1,0.0,72
2024-04-12T08:00:00,2,150.667,72
2024-04-12T09:00:00,1,12.229,74
2024-04-12T10:00:00,1,28.818,75
2024-04-12T11:00:00,2,33.565,76
2024-04-12T12:00:00,1,24.967,77
2024-04-12T16:00:00,1,136.381,75
2024-04-12T19:00:00,1,86.244,76
2024-04-12T22:00:00,2,174.798,55
2024-04-12T23:00:00,2,148.719,49
2024-04-13T00:00:00,1,22.489,46
2024-04-13T03:00:00,2,45.184,25
2024-04-13T04:00:00,2,0.0,24
2024-04-13T05:00:00,0,42.869,20
2024-04-13T08:00:00,1,71.999,14
2024-04-13T09:00:00,3,755.113,13
2024-04-13T10:00:00,1,13.922,14
2024-04-13T11:00:00,3,218.037,14
2024-04-13T12:00:00,1,181.803,16
2024-04-13T13:00:00,0,4.003,16
2024-04-13T15:00:00,2,7.412,16
2024-04-13T22:00:00,1,51.891,15
2024-04-14T01:00:00,1,12.674,12
2024-04-14T03:00:00,1,0.0,13
2024-04-14T04:00:00,1,7.416,13
2024-04-14T05:00:00,1,1.001,12
2024-04-14T06:00:00,1,4.938,12
2024-04-14T07:00:00,3,185.486,13
2024-04-14T08:00:00,1,21.97,16
2024-04-14T20:00:00,3,126.024,10
2024-04-14T21:00:00,8,1003.566,13
2024-04-14T22:00:00,4,591.58,19
2024-04-14T23:00:00,4,134.542,22
2024-04-15T00:00:00,8,139.019,26
2024-04-15T01:00:00,12,905.392,34
2024-04-15T02:00:00,15,921.081,44
2024-04-15T03:00:00,16,610.25,54
2024-04-15T04:00:00,16,1651.145,61
2024-04-15T05:00:00,16,242.111,70
2024-04-15T06:00:00,0,343.891,76
2024-04-15T09:00:00,3,130.051,71
2024-04-15T10:00:00,1,8.329,74
2024-04-15T12:00:00,1,147.696,74
2024-04-15T13:00:00,1,10.431,75
2024-04-15T18:00:00,1,16.195,76
2024-04-15T19:00:00,1,31.096,77
2024-04-15T20:00:00,11,1025.248,77
2024-04-15T21:00:00,21,1556.913,82
2024-04-15T22:00:00,9,457.963,91
