timeWindowStart,viewers,readers
2024-07-19T20:00:00,14,6
2024-10-01T20:00:00,58,40
2024-10-25T20:00:00,9,4
2025-01-01T19:00:00,3,2
2023-05-01T20:00:00,15,10
2023-08-11T20:00:00,3,1
2025-08-02T20:00:00,6,1
2023-09-24T20:00:00,10,7
2024-08-13T20:00:00,47,27
2023-08-31T20:00:00,23,11
2023-09-02T20:00:00,2,1
2024-09-03T20:00:00,93,54
2024-10-18T20:00:00,22,11
2025-02-20T19:00:00,31,12
2025-08-27T20:00:00,28,12
2023-04-22T20:00:00,2,0
2023-10-11T20:00:00,21,10
2025-06-14T20:00:00,17,8
2023-08-09T20:00:00,24,12
2024-04-16T20:00:00,104,57
2025-01-06T19:00:00,39,21
2025-01-24T19:00:00,5,2
2024-05-21T20:00:00,82,49
2024-05-25T20:00:00,5,2
2023-11-03T20:00:00,8,5
2024-05-07T20:00:00,113,54
2025-06-17T20:00:00,33,25
2025-08-30T20:00:00,7,4
2025-09-20T20:00:00,5,2
2025-09-26T20:00:00,4,0
2024-01-18T19:00:00,55,32
2024-02-02T19:00:00,9,2
2025-01-09T19:00:00,46,19
2025-01-30T19:00:00,35,17
2023-07-19T20:00:00,19,13
2023-11-25T19:00:00,13,2
2025-04-21T20:00:00,61,43
2025-08-19T20:00:00,25,10
2023-10-18T20:00:00,24,17
2024-03-06T19:00:00,70,30
2024-07-11T20:00:00,71,43
2023-04-06T20:00:00,19,9
2023-07-25T20:00:00,28,17
2023-06-07T20:00:00,30,14
2025-02-09T19:00:00,34,21
2023-12-30T19:00:00,9,3
2024-01-30T19:00:00,42,24
2024-10-03T20:00:00,69,36
2023-01-26T19:00:00,21,11
2023-12-11T19:00:00,53,29
2023-04-03T20:00:00,28,13
2024-04-09T20:00:00,85,33
2025-03-23T20:00:00,27,13
2025-09-09T20:00:00,36,18
2023-03-15T20:00:00,15,10
2025-04-07T20:00:00,52,27
2025-09-28T20:00:00,23,10
2025-07-31T20:00:00,43,28
2024-03-20T20:00:00,78,45
2024-09-04T20:00:00,96,50
2025-03-07T19:00:00,13,7
2023-07-18T20:00:00,26,11
2025-04-17T20:00:00,31,19
2023-01-08T19:00:00,11,4
2023-05-29T20:00:00,33,20
2024-10-27T20:00:00,101,58
2025-02-04T19:00:00,44,27
2025-08-13T20:00:00,22,15
2023-12-31T19:00:00,8,5
2024-10-10T20:00:00,63,33
2024-08-05T20:00:00,59,41
2024-10-28T20:00:00,89,48
2023-05-30T20:00:00,22,12
2024-05-20T20:00:00,87,57
2025-02-03T19:00:00,58,34
2025-06-12T20:00:00,49,21
2023-01-22T19:00:00,23,12
2023-01-24T19:00:00,17,7
2025-07-11T20:00:00,5,4
2023-08-06T20:00:00,17,7
2023-11-24T19:00:00,6,4
2024-07-01T20:00:00,117,59
2023-04-27T20:00:00,22,16
2023-07-12T20:00:00,41,23
2025-06-18T20:00:00,29,15
2024-01-05T19:00:00,17,12
2024-12-14T19:00:00,12,5
2023-03-28T20:00:00,17,8
2024-05-05T20:00:00,8,6
2023-02-22T19:00:00,8,5
2023-03-11T19:00:00,3,1
2025-07-16T20:00:00,37,12
2024-07-09T20:00:00,106,65
2025-07-03T20:00:00,26,12
2024-06-16T20:00:00,78,47
2024-08-08T20:00:00,56,24
2024-09-01T20:00:00,90,53
2025-02-19T19:00:00,53,25
2024-01-11T19:00:00,46,22
2024-05-03T20:00:00,6,3
2025-08-17T20:00:00,23,13
2023-09-03T20:00:00,15,6
2024-09-06T20:00:00,20,11
2024-06-28T20:00:00,10,5
2025-02-25T19:00:00,31,16
2025-05-21T20:00:00,54,26
2023-05-31T20:00:00,21,9
2024-02-11T19:00:00,13,7
2025-04-19T20:00:00,11,8
2025-05-28T20:00:00,40,19
2024-07-16T20:00:00,98,46
2025-02-26T19:00:00,53,31
2023-10-02T20:00:00,19,9
2024-08-30T20:00:00,16,7
2025-01-12T19:00:00,14,11
2025-02-08T19:00:00,8,4
2025-08-24T20:00:00,32,11
2023-02-10T19:00:00,8,5
2023-08-01T20:00:00,27,19
2024-11-06T19:00:00,73,38
2025-03-04T19:00:00,55,38
2025-03-17T20:00:00,50,24
2025-03-25T20:00:00,53,21
2025-05-02T20:00:00,7,3
2025-07-10T20:00:00,36,22
2025-07-27T20:00:00,28,12
2024-03-17T20:00:00,95,53
2024-08-03T20:00:00,21,14
2024-04-23T20:00:00,92,49
2024-08-22T20:00:00,74,41
2023-12-02T19:00:00,4,2
2024-02-18T19:00:00,56,36
2024-05-17T20:00:00,11,6
2024-07-26T20:00:00,12,5
2025-09-23T20:00:00,25,15
2023-01-23T19:00:00,24,10
2023-04-14T20:00:00,2,1
2024-04-18T20:00:00,62,35
2024-12-20T19:00:00,7,3
2025-05-23T20:00:00,7,3
2023-03-04T19:00:00,10,4
2023-03-17T20:00:00,6,4
2024-12-19T19:00:00,31,15
2025-05-22T20:00:00,31,16
2023-03-23T20:00:00,14,8
2024-03-03T19:00:00,53,32
2023-02-21T19:00:00,32,20
2025-04-06T20:00:00,41,20
2023-06-08T20:00:00,30,12
2025-07-15T20:00:00,31,14
2023-02-05T19:00:00,20,12
2023-05-20T20:00:00,3,1
2025-04-20T20:00:00,40,20
2023-09-16T20:00:00,1,0
2024-07-24T20:00:00,85,42
2024-05-18T20:00:00,19,10
2024-08-15T20:00:00,40,20
2023-03-13T20:00:00,29,18
2023-03-26T20:00:00,26,14
2024-01-01T19:00:00,1,0
2024-07-10T20:00:00,62,35
2023-02-17T19:00:00,11,9
2023-06-21T20:00:00,25,18
2024-11-24T19:00:00,66,39
2025-01-26T19:00:00,33,21
2023-06-04T20:00:00,22,7
2024-02-27T19:00:00,72,39
2023-04-05T20:00:00,19,7
2023-10-22T20:00:00,25,13
2025-09-01T20:00:00,46,23
2023-07-20T20:00:00,25,19
2025-04-24T20:00:00,63,30
2023-05-19T20:00:00,5,3
2024-03-09T19:00:00,20,9
2024-05-31T20:00:00,17,10
2023-01-02T19:00:00,4,1
2024-02-12T19:00:00,52,30
2024-06-18T20:00:00,85,42
2025-05-11T20:00:00,64,26
2025-06-08T20:00:00,35,14
2025-06-11T20:00:00,46,23
2025-06-29T20:00:00,34,20
2023-07-13T20:00:00,31,18
2024-01-09T19:00:00,63,29
2025-06-20T20:00:00,2,1
2023-03-25T20:00:00,3,1
2023-11-06T19:00:00,33,16
2025-07-29T20:00:00,32,12
2025-09-21T20:00:00,36,17
2023-01-17T19:00:00,23,11
2023-07-24T20:00:00,38,22
2023-08-15T20:00:00,33,18
2023-08-24T20:00:00,30,21
2024-02-06T19:00:00,57,32
2024-07-06T20:00:00,17,7
2024-12-07T19:00:00,12,3
2025-08-04T20:00:00,29,14
2023-01-29T19:00:00,17,9
2023-08-04T20:00:00,2,1
2023-10-29T20:00:00,37,25
2024-03-13T20:00:00,87,44
2023-03-18T20:00:00,2,2
2023-10-13T20:00:00,6,3
2024-02-21T19:00:00,49,28
2025-04-11T20:00:00,9,1
2024-06-14T20:00:00,5,3
2023-03-30T20:00:00,15,9
2023-09-13T20:00:00,21,11
2023-03-06T19:00:00,34,21
2024-12-25T19:00:00,40,18
2023-06-24T20:00:00,4,4
2024-04-19T20:00:00,15,6
2024-12-02T19:00:00,55,27
2024-07-12T20:00:00,11,7
2024-10-02T20:00:00,56,31
2023-11-18T19:00:00,13,4
2025-01-17T19:00:00,9,3
2023-01-16T19:00:00,17,10
2024-01-17T19:00:00,48,25
2023-09-14T20:00:00,16,5
2024-07-15T20:00:00,92,41
2024-07-28T20:00:00,65,35
2024-08-14T20:00:00,40,24
2024-09-17T20:00:00,91,49
2024-09-30T20:00:00,85,47
2023-05-11T20:00:00,33,15
2023-06-01T20:00:00,19,10
2025-03-31T20:00:00,33,17
2025-04-26T20:00:00,17,6
2025-05-04T20:00:00,23,6
2023-07-10T20:00:00,34,19
2024-05-11T20:00:00,33,21
2023-10-03T20:00:00,24,12
2023-12-13T19:00:00,52,32
2024-11-07T19:00:00,55,26
2023-02-02T19:00:00,16,9
2023-08-13T20:00:00,13,6
2025-01-04T19:00:00,32,15
2025-08-26T20:00:00,38,15
2024-07-07T20:00:00,84,43
2024-11-28T19:00:00,56,31
2025-01-27T19:00:00,48,26
2024-01-13T19:00:00,12,7
2024-08-11T20:00:00,14,7
2025-03-29T20:00:00,5,2
2025-06-21T20:00:00,7,3
2023-05-09T20:00:00,26,16
2024-05-01T20:00:00,43,29
2023-02-25T19:00:00,7,4
2025-02-14T19:00:00,5,2
2025-02-17T19:00:00,45,26
2024-02-08T19:00:00,58,46
2024-07-08T20:00:00,83,44
2024-07-22T20:00:00,93,59
2024-11-11T19:00:00,73,36
2024-12-10T19:00:00,40,22
2025-04-23T20:00:00,32,15
2023-06-23T20:00:00,4,3
2023-10-10T20:00:00,24,15
2022-12-31T19:00:00,4,0
2025-03-11T20:00:00,56,26
2023-09-28T20:00:00,29,18
2024-02-14T19:00:00,60,30
2024-11-10T19:00:00,70,37
2024-12-12T19:00:00,48,28
2025-03-30T20:00:00,43,26
2025-07-07T20:00:00,45,14
2023-01-18T19:00:00,27,10
2023-08-22T20:00:00,18,9
2024-02-20T19:00:00,54,34
2024-03-28T20:00:00,86,40
2024-04-02T20:00:00,103,54
2024-07-03T20:00:00,101,51
2024-10-20T20:00:00,69,33
2024-11-13T19:00:00,85,47
2023-03-02T19:00:00,25,8
2023-09-12T20:00:00,22,8
2025-05-10T20:00:00,4,2
2025-08-07T20:00:00,30,17
2025-01-03T19:00:00,9,4
2025-04-13T20:00:00,40,21
2024-01-26T19:00:00,6,4
2024-04-06T20:00:00,26,17
2023-04-25T20:00:00,14,9
2023-09-20T20:00:00,29,17
2024-04-28T20:00:00,8,5
2024-05-27T20:00:00,91,51
2024-09-05T20:00:00,61,32
2025-09-04T20:00:00,19,6
2023-07-08T20:00:00,14,5
2024-04-03T20:00:00,76,40
2023-12-15T19:00:00,7,4
2023-03-01T19:00:00,35,24
2023-05-07T20:00:00,25,12
2023-10-05T20:00:00,25,12
2024-07-20T20:00:00,6,3
2024-07-29T20:00:00,99,54
2024-09-23T20:00:00,79,42
2025-04-04T20:00:00,6,2
2023-03-29T20:00:00,17,9
2023-05-23T20:00:00,30,22
2024-09-11T20:00:00,96,61
2025-05-03T20:00:00,12,8
2023-03-20T20:00:00,4,1
2023-09-30T20:00:00,12,5
2025-03-09T20:00:00,64,34
2025-05-29T20:00:00,42,25
2024-03-25T20:00:00,66,35
2024-06-24T20:00:00,99,54
2023-06-19T20:00:00,26,10
2025-08-31T20:00:00,40,24
2023-11-29T19:00:00,38,16
2024-08-06T20:00:00,88,45
2024-10-17T20:00:00,63,34
2025-07-21T20:00:00,34,15
2025-09-10T20:00:00,22,9
2025-09-15T20:00:00,35,16
2023-07-21T20:00:00,6,3
2023-09-11T20:00:00,20,15
2024-09-15T20:00:00,19,9
2025-03-05T19:00:00,50,30
2023-02-18T19:00:00,9,6
2023-07-04T20:00:00,29,15
2024-04-10T20:00:00,57,33
2024-06-01T20:00:00,16,8
2024-08-20T20:00:00,98,53
2023-07-15T20:00:00,3,1
2024-01-19T19:00:00,14,6
2025-03-18T20:00:00,32,14
2023-05-06T20:00:00,3,2
2024-07-25T20:00:00,56,23
2024-06-29T20:00:00,11,5
2025-03-15T20:00:00,9,3
2025-08-16T20:00:00,11,4
2025-08-23T20:00:00,14,10
2025-09-08T20:00:00,26,11
2023-11-04T20:00:00,15,8
2024-02-26T19:00:00,57,34
2025-05-14T20:00:00,45,25
2023-03-09T19:00:00,26,14
2025-03-02T19:00:00,56,37
2025-09-27T20:00:00,6,1
2023-09-10T20:00:00,28,17
2025-01-14T19:00:00,49,25
2023-08-14T20:00:00,21,11
2024-10-29T20:00:00,85,49
2023-06-06T20:00:00,47,25
2023-06-20T20:00:00,28,12
2025-05-16T20:00:00,10,4
2025-06-16T20:00:00,53,29
2024-03-27T20:00:00,91,54
2025-01-25T19:00:00,9,5
2025-02-15T19:00:00,7,5
2025-07-12T20:00:00,5,1
2023-06-09T20:00:00,3,1
2023-06-15T20:00:00,15,9
2023-12-21T19:00:00,40,25
2023-12-26T19:00:00,43,29
2023-01-05T19:00:00,25,15
2023-01-07T19:00:00,7,2
2023-12-05T19:00:00,72,42
2024-02-15T19:00:00,43,21
2024-09-28T20:00:00,18,12
2024-10-09T20:00:00,82,40
2025-07-17T20:00:00,37,19
2025-08-18T20:00:00,32,15
2023-10-17T20:00:00,23,14
2024-06-05T20:00:00,84,38
2024-12-29T19:00:00,10,7
2025-05-12T20:00:00,63,30
2023-08-07T20:00:00,36,21
2024-09-27T20:00:00,13,7
2024-09-20T20:00:00,17,7
2023-02-27T19:00:00,27,18
2024-08-24T20:00:00,13,5
2023-11-10T19:00:00,7,2
2024-06-10T20:00:00,72,40
2024-06-23T20:00:00,73,34
2025-07-05T20:00:00,8,2
2023-02-03T19:00:00,5,2
2023-09-22T20:00:00,6,4
2025-02-01T19:00:00,11,7
2024-02-01T19:00:00,51,22
2024-11-20T19:00:00,67,35
2023-10-30T20:00:00,42,20
2024-01-22T19:00:00,42,21
2025-03-12T20:00:00,60,35
2025-07-28T20:00:00,36,13
2025-08-08T20:00:00,10,6
2023-08-29T20:00:00,43,15
2023-10-25T20:00:00,30,18
2024-06-12T20:00:00,77,34
2025-03-06T19:00:00,55,29
2024-05-08T20:00:00,82,50
2024-05-09T20:00:00,52,34
2025-07-09T20:00:00,48,24
2023-04-20T20:00:00,32,27
2023-09-06T20:00:00,17,8
2024-10-30T20:00:00,56,34
2023-10-12T20:00:00,16,11
2023-11-08T19:00:00,61,30
2023-10-24T20:00:00,22,11
2025-05-30T20:00:00,7,0
2025-01-15T19:00:00,72,45
2025-04-01T20:00:00,41,15
2025-09-05T20:00:00,5,2
2023-02-13T19:00:00,24,12
2024-05-06T20:00:00,85,48
2025-04-15T20:00:00,48,27
2024-12-09T19:00:00,55,26
2025-03-27T20:00:00,48,23
2023-10-21T20:00:00,10,6
2025-03-08T19:00:00,28,14
2024-05-16T20:00:00,70,35
2025-06-03T20:00:00,43,23
2023-08-16T20:00:00,22,12
2023-04-30T20:00:00,15,10
2023-05-24T20:00:00,28,14
2025-02-16T19:00:00,29,16
2025-04-02T20:00:00,67,35
2025-07-19T20:00:00,5,3
2023-01-25T19:00:00,20,15
2023-05-13T20:00:00,4,3
2024-11-19T19:00:00,82,54
2025-01-20T19:00:00,62,30
2025-06-05T20:00:00,33,12
2023-12-06T19:00:00,44,27
2024-02-07T19:00:00,62,36
2025-02-13T19:00:00,34,23
2025-06-04T20:00:00,37,18
2024-11-18T19:00:00,65,24
2025-03-16T20:00:00,60,27
2023-05-25T20:00:00,29,15
2024-03-23T20:00:00,11,7
2023-10-06T20:00:00,9,8
2023-11-30T19:00:00,68,39
2024-04-21T20:00:00,76,38
2024-06-11T20:00:00,83,47
2024-08-04T20:00:00,79,37
2025-03-19T20:00:00,24,11
2023-02-28T19:00:00,21,10
2023-09-04T20:00:00,22,13
2025-07-14T20:00:00,40,18
2025-09-16T20:00:00,81,11
2024-07-04T20:00:00,87,47
2025-05-15T20:00:00,35,21
2023-11-20T19:00:00,48,29
2024-04-24T20:00:00,116,71
2025-01-28T19:00:00,48,25
2025-09-29T20:00:00,26,7
2023-08-20T20:00:00,20,11
2023-09-19T20:00:00,25,18
2025-06-22T20:00:00,59,28
2023-04-23T20:00:00,25,15
2023-11-23T19:00:00,30,16
2024-02-09T19:00:00,11,3
2024-10-11T20:00:00,5,2
2025-09-24T20:00:00,28,12
2023-07-03T20:00:00,32,17
2023-08-26T20:00:00,5,1
2025-03-14T20:00:00,7,5
2023-07-01T20:00:00,5,1
2024-09-02T20:00:00,79,48
2024-04-04T20:00:00,86,44
2024-05-19T20:00:00,93,43
2024-11-01T20:00:00,9,6
2025-08-03T20:00:00,29,16
2025-09-17T20:00:00,25,9
2023-04-17T20:00:00,20,8
2023-07-29T20:00:00,11,7
2024-07-30T20:00:00,77,39
2025-04-18T20:00:00,4,1
2024-01-16T19:00:00,50,31
2024-03-02T19:00:00,13,5
2023-08-30T20:00:00,26,16
2024-12-31T19:00:00,5,2
2025-01-18T19:00:00,16,5
2023-05-04T20:00:00,6,5
2023-07-02T20:00:00,23,10
2025-05-18T20:00:00,39,16
2025-05-19T20:00:00,47,23
2025-06-07T20:00:00,11,5
2024-04-05T20:00:00,16,8
2025-01-08T19:00:00,56,32
2025-02-18T19:00:00,53,33
2023-04-01T20:00:00,1,0
2024-10-22T20:00:00,87,53
2023-06-12T20:00:00,31,12
2025-04-30T20:00:00,43,24
2023-11-12T19:00:00,61,42
2023-12-29T19:00:00,14,8
2024-02-03T19:00:00,14,9
2024-09-10T20:00:00,76,37
2024-10-14T20:00:00,82,51
2024-12-30T19:00:00,7,3
2023-04-02T20:00:00,28,18
2023-10-08T20:00:00,4,2
2025-09-14T20:00:00,11,4
2024-09-12T20:00:00,79,28
2024-11-30T19:00:00,13,5
2024-12-21T19:00:00,9,6
2025-01-16T19:00:00,42,23
2025-05-25T20:00:00,38,22
2023-06-27T20:00:00,24,12
