timeWindowStart,views,ttr,dailyUniqueVisitors
2023-03-06T19:00:00,5,47.191,121
2023-03-06T20:00:00,22,1495.516,124
2023-03-06T21:00:00,7,363.639,138
2023-03-06T22:00:00,4,86.766,144
2023-03-06T23:00:00,5,213.737,146
2023-03-07T00:00:00,24,1160.799,143
2023-03-07T01:00:00,15,1397.933,150
2023-03-07T02:00:00,12,499.426,152
2023-03-07T03:00:00,10,511.98,153
2023-03-07T04:00:00,10,712.388,158
2023-03-07T05:00:00,6,504.411,155
2023-03-07T06:00:00,7,491.88,153
2023-03-07T07:00:00,8,276.11,152
2023-03-07T08:00:00,7,710.985,151
2023-03-07T09:00:00,15,346.945,153
2023-03-07T10:00:00,17,595.328,158
2023-03-07T11:00:00,13,778.499,150
2023-03-07T12:00:00,11,367.518,156
2023-03-07T13:00:00,14,1225.962,157
2023-03-07T14:00:00,5,452.989,158
2023-03-07T15:00:00,8,402.203,159
2023-03-07T16:00:00,3,713.917,162
2023-03-07T17:00:00,3,349.547,160
2023-03-07T18:00:00,8,452.496,161
2023-03-07T19:00:00,3,211.819,158
2023-03-07T20:00:00,12,502.335,156
2023-03-07T21:00:00,5,27.186,149
2023-03-07T22:00:00,6,506.009,146
2023-03-07T23:00:00,12,567.607,148
2023-03-08T00:00:00,7,293.796,151
2023-03-08T01:00:00,8,418.246,148
2023-03-08T02:00:00,9,593.322,144
2023-03-08T03:00:00,9,1106.098,142
2023-03-08T04:00:00,10,995.075,141
2023-03-08T05:00:00,5,764.413,139
2023-03-08T06:00:00,6,611.668,141
2023-03-08T07:00:00,1,53.641,143
2023-03-08T08:00:00,8,303.283,137
2023-03-08T09:00:00,7,50.222,137
2023-03-08T10:00:00,6,413.849,129
2023-03-08T11:00:00,7,453.453,127
2023-03-08T12:00:00,13,407.216,124
2023-03-08T13:00:00,27,652.178,124
2023-03-08T14:00:00,2,44.56,124
2023-03-08T15:00:00,3,218.718,122
2023-03-08T16:00:00,0,3.016,118
2023-03-08T17:00:00,12,1178.122,115
2023-03-08T18:00:00,7,652.132,120
2023-03-08T19:00:00,5,704.91,123
2023-03-08T20:00:00,6,367.273,124
2023-03-08T21:00:00,5,1587.056,122
2023-03-08T22:00:00,8,891.036,122
2023-03-08T23:00:00,5,337.069,124
2023-03-09T00:00:00,10,1327.972,124
2023-03-09T01:00:00,8,738.499,127
2023-03-09T02:00:00,11,861.813,129
2023-03-09T03:00:00,7,456.771,130
2023-03-09T04:00:00,9,1174.566,128
2023-03-09T05:00:00,14,541.949,127
2023-03-09T06:00:00,0,8.083,128
2023-03-09T07:00:00,14,149.206,122
2023-03-09T08:00:00,12,667.876,127
2023-03-09T09:00:00,7,785.355,130
2023-03-09T10:00:00,4,94.248,134
2023-03-09T11:00:00,8,266.613,132
2023-03-09T12:00:00,11,692.68,134
2023-03-09T13:00:00,7,274.615,134
2023-03-09T14:00:00,6,127.849,129
2023-03-09T15:00:00,5,379.98,131
2023-03-09T16:00:00,12,847.443,132
2023-03-09T17:00:00,9,298.842,137
2023-03-09T18:00:00,9,230.947,135
2023-03-09T19:00:00,7,213.515,135
2023-03-09T20:00:00,4,1369.72,133
2023-03-09T21:00:00,6,531.71,133
2023-03-09T22:00:00,5,396.455,135
2023-03-09T23:00:00,8,954.318,133
2023-03-10T00:00:00,9,360.431,131
2023-03-10T01:00:00,10,841.924,130
2023-03-10T02:00:00,10,803.502,127
2023-03-10T03:00:00,5,251.643,127
2023-03-10T04:00:00,7,337.345,128
2023-03-10T05:00:00,5,148.618,130
2023-03-10T06:00:00,1,4.56,129
2023-03-10T07:00:00,2,33.703,129
2023-03-10T08:00:00,5,328.88,126
2023-03-10T09:00:00,8,452.557,122
2023-03-10T10:00:00,7,537.582,120
2023-03-10T11:00:00,5,78.929,122
2023-03-10T12:00:00,9,312.436,117
2023-03-10T13:00:00,7,210.721,116
2023-03-10T14:00:00,3,88.343,119
2023-03-10T15:00:00,3,59.162,119
2023-03-10T16:00:00,6,128.43,120
2023-03-10T17:00:00,4,103.299,117
