postId,slug,title,creatorId,collectionId,upvotes,views,reads,createdAt,firstPublishedAt,visibility,firstPublishedAtBucket,readingTime,syndicatedViews,claps,updateNotificationSubscribers,isSeries,internalReferrerViews,friendsLinkViews,type,daysSincePublished
df0058773c26,box-node-js-sdkとoauth-2-0の使用,Box Node.js SDKとOAuth 2.0の使用,5c489a4342f7,d4dda281ea02,0,36,13,2023-05-24T02:02:44,2023-05-24T02:47:52,0,May 2023,16,2,0,0,False,18,0,PostStat,161
dd54727500e2,box-python-sdk-3分でゼロから最初のリクエストを行うまで,Box Python SDK — 3分でゼロから最初のリクエストを行うまで,5c489a4342f7,d4dda281ea02,0,114,71,2023-05-19T01:46:08,2023-05-19T02:20:17,0,May 2023,7,3,0,0,False,11,0,PostStat,166
e63e9bd18830,boxとsalesforceフローに関するチュートリアル,BoxとSalesforceフローに関するチュートリアル,5c489a4342f7,d4dda281ea02,0,102,43,2023-05-18T08:30:42,2023-05-19T02:20:14,0,May 2023,8,2,0,0,False,18,0,PostStat,166
8b8ed5ce54e4,boxとappsmithを使用したcrudアプリの作成,BoxとAppsmithを使用したCRUDアプリの作成,5c489a4342f7,d4dda281ea02,0,55,12,2023-05-18T03:54:00,2023-05-19T02:20:10,0,May 2023,15,2,0,0,False,5,0,PostStat,166
e2206a21c82,box-embed-2-0のリリース,Box Embed 2.0のリリース,5c489a4342f7,d4dda281ea02,0,27,13,2023-04-25T02:51:00,2023-04-27T03:36:08,0,April 2023,6,2,0,0,False,15,0,PostStat,188
7b97758833d7,oauth-2-0を使用するandroidアプリでのbox-java-sdkの使用-パート2,OAuth 2.0を使用するAndroidアプリでのBox Java SDKの使用 — パート2,5c489a4342f7,d4dda281ea02,0,31,5,2023-04-18T03:14:10,2023-04-18T03:39:48,0,April 2023,29,3,0,0,False,8,0,PostStat,197
b3db1a118572,oauth-2-0を使用するandroidアプリでのbox-java-sdkの使用-パート1,OAuth 2.0を使用するAndroidアプリでのBox Java SDKの使用 — パート1,5c489a4342f7,d4dda281ea02,0,148,32,2023-04-12T21:11:46,2023-04-13T01:34:23,0,April 2023,23,4,0,0,False,22,0,PostStat,202
22e25f3075ed,cliを使用したboxのコンテンツタグの管理,CLIを使用したBoxのコンテンツタグの管理,5c489a4342f7,d4dda281ea02,0,32,14,2023-04-02T21:35:18,2023-04-04T00:16:06,0,April 2023,12,3,0,0,False,14,0,PostStat,211
b850f21d2e88,boxのカスケードポリシーを使用したメタデータ管理の自動化,Boxのカスケードポリシーを使用したメタデータ管理の自動化,5c489a4342f7,d4dda281ea02,0,152,39,2023-03-31T01:04:15,2023-03-31T02:32:31,0,March 2023,15,2,0,0,False,17,0,PostStat,215
6859de6e29ff,boxのメタデータ管理の入門ガイド,Boxのメタデータ管理の入門ガイド,5c489a4342f7,d4dda281ea02,0,131,63,2023-03-26T23:53:02,2023-03-28T04:22:53,0,March 2023,8,2,0,0,False,27,0,PostStat,218
